cln_title,polarity_score
安徽 男子 狗 取名 城管       遭 行政拘留 10 日,-1
上海 奇景       大學校園 足球場 竟變 停車場,0
貿易戰 導致 全球 價值鏈 轉移   大陸 面臨 潛在 就業 風險,1
西藏 拉薩 降雪     網友 險在 夏天 凍死,0
今後 年   陸 國開行 至少 提供 台企 融資 600 億 人民幣,1
大陸 科學家 琥珀 中 發現 史前 海洋 動物,1
陸 報復 關稅 針對性   專打 川普 支持者 盤,2
不打自招 海基會 自爆 稅務 驗證 做到 手殘,0
港 豬瘟 蔓延   張 小月 台灣 可助 港府 防疫 工作,0
北京市委 書記 蔡奇   洪秀 柱籲 警惕 民進黨 中國化 舉措,0
北京師範大學 演講   洪 秀柱 兩岸 和平 優先 統一,3
陸 改革 建議書 點名 批評 美 政策 威脅 WTO 存在,2
中美 貿易戰   王毅 極限 施壓 只 引發 正當 反擊,0
北京師大 演講   洪 秀柱 兩岸 一起 好,0
夏納翰 美 軍種 做好 準備 應對 大陸 挑戰,1
環時 社評 赴美 留學 挺 好 求學路   非 唯一,1
第二屆 海峽兩岸 姊妹 湖 產業 協作 年會 天目湖 舉行,2
戈 蘭新 屯墾 區   以國 命名 川普,0
菲 期中 選舉   杜特蒂 勝券在握,1
洪 汪會   堅持 九二 共識   無 統一 時間表,3
美打 擦邊球   勿 避戰 變 必戰,1
美 陸戰隊   月 祕密 來台 演訓,0
領導人 要能 回應 民眾 望治 心切,1
體制 差異 化解 中美 貿易戰,0
自貿區 政見,0
貿易 持久戰   台應 及早 避險,2
台胞 居住證 破 10 萬   恐嚇 牌 失效,-2
兩岸 史話 － 辦報 拚 性命   寫 小說 玩玩,0
兩岸 月來 交流   共同 紀念 張大千,3
豬瘟 入侵 香港   6000 隻 豬 全數 撲殺,0
淮安 食品 博覽會   旺旺 挺 食安 行動,1
圓夢 獄警   焦灩 成父 祖輩 戰友,1
三代 獄警   見證 川 監獄 70 年 歷史,-1
鎖定 下沉 市場   搶 抖音 快手 用戶,1
陸 免費網 文逆襲   攻破 付費 城牆,0
父母 陪伴   最好 情商,2
情商 師資 不齊   有人 上課 年 白花錢,0
陸娃 歲 學社 交   比學 才藝 貴,1
守護 黃山 迎客松   胡 曉春 兩度 獲獎,2
設計 三峽大壩   26 年 工地 為家,-1
入駐 大興 機場   逾 50 航企 意願,1
自經 區 有利 台商 回流   提升 競爭力,4
戳破 經濟 20 年來 最好 說法   新 南向 政策 完全 失敗 GDP 陷保 危機   蔡 遭 國策 會打 臉,-1
陸 展開 反制   月起 美貨 加稅,0
中美 關稅 對決   掀 全球 貿易戰,0
淮安 食 博會 開幕   美味 紛呈,1
全球 數據 搶 人才   成在 陸,0
廣東 加速 5G 應用   領域 結合 發展,2
陸 5G 基建 衝刺   2030 占 GDP6,1
境外 資金 匯回 專法 草案 接 地氣,0
南京 人才 公寓   博士 享 年免 租金,0
廣州 搶 優秀人才   提供 住房 保障,3
貿易戰 驚嚇   兩岸 股匯 雙殺,-2
科創 板上 踢 鐵板   九號 機器人 卡關,-1
A股 迎 黃金 十年   績優股 受 追捧,1
台開 資產 活化 計劃   打造 養生 園區,2
水岸 台北 2019 端午 嘉年華   百萬 網紅 報到,0
打造 現代 肉品 生產 基地   台畜 瞄準 美日,3
第二屆 遠見 社企之星   持續 創造 共好 效益,2
走入 鄉林 山海 滙   體驗 優雅 生命 姿態,1
佛系 大學 掰   碩士 畢業 門檻 墊高,-1
提升 高教 品質   陸 大學畢業 變難,1
莆田 惠台 35 條   台胞 到湄 洲免 門票,0
兩岸 座談   推進 兩 制台灣 方案 進程,2
劉 結一 家人 坐 一起   無 心結 解不開,-1
陸 學者 大陸 放心   慢慢 談,1
汪洋 洪 秀柱   認同 統一 無 時間表,2
台企聯 換屆   汪洋 16 日晤 新 會長,0
美 加碼 打台 灣牌   避戰 恐 變 必戰,2
美 蠶食 陸 底線   加速 北京 備戰 步伐,-1
正值 中美 貿易戰   軍事 台 灣牌 出手   政治 味濃 美 陸戰隊 證實   月 曾 台 演訓,2
洪 汪會   陸委會 形塑 兩岸 進行 民主協商 共議 統一 樣板,2
陸 國務院 關稅 稅則 委員會 決定 原產 美國 部分 進口商品 加徵 關稅,0
江西 生態 補償 範圍 擴 整個 鄱陽湖區,-1
今年 大陸 農產品 供給 總量 充足,1
瀋陽 桃仙 開通 港澳台 自助 簽注         開 東北 機場 先河,2
洪 汪 會後   洪 秀柱 堅持 九二 共識   反對 台獨   統一 時間表,2
習 五條 發布 後   洪 秀柱 今見 汪洋,1
美 報告 揭陸 兩棲 奪島 美專家 共軍 缺乏 兩棲作戰 能力,0
洪 秀柱 重申 兩岸 目標 統一     今 下午 會見 汪洋,4
柱姐 今會 劉 結一   共同 發表 六項 願景 倡議,3
洪 秀柱 劉 結一 出席 兩岸 民族 復興 座談會,0
第二屆 青春 頌 武漢 登場   兩岸 青年 唱響 青春,1
洪 習會 今 登場   料 重申 五個,2
  梅伊 下台 時間   本周 敲定,2
北京 大興 機場   今 真機 試飛,0
巴基斯坦 恐 攻   衝 一帶 一路,0
美國 關注 中國 經略 北極 雄心,1
一帶 一路 應 結合 台商 長處,1
驚嚇 區,-2
辦 自貿區 電視辯論,-1
因應 文明 衝突   北京 需 戰略 淡定,1
兩岸 史話 － 金庸 談起 學界 像論 江湖,0
兩岸 同根 同祖   書畫展 深化 交流,2
視覺 中國 恢復 營運   新增 舉報 功能,1
陸 專家 參與   希瓦 古城 魅力 重現,3
中美 續談 好事   總能 談 理性,0
陸 以拖待變   川普 反 嗆 打錯算盤,-1
A股 併購 回暖 潮   橫向 整合 成新 主調,1
MSCI 擴容 A股   消費 龍頭 有望 獲益,2
巴菲特 看好 中國   錢進 A股,1
全面 貿戰 恐 爆發   金融市場 挫 咧,1
孫中山 孫女 首部 畫冊   中山 出版,0
書香 宗祠 成了 精神家園,1
師徒 巧手 布景   愛 呆萌 多肉,1
世園 天津 日 開幕   盛裝 迎客,0
法海 寺 藏經閣 開放,1
中山公園 音樂堂   高雅 藝術 潤 京城,2
漫步 老城 胡同   體驗 京味 文化,0
退休 後 逃跑 陸 旅居 養老 成 潮流,-1
國泰人壽 追星 計畫   健康 饗 米其林 美食,2
卡位 基建 有錢 途   追漲 抗跌 耐震 佳,1
恆指 未來 走勢   看中 美 談判,0
大盤 回穩 尚待 時日   本周 震盪 難免,1
情懷 產品 復甦   玩具 合作 新 IP,1
玩具 市場 夯   港企 搶 內銷 爭 海外,0
台 股遇 亂流   專家 別急 猜 盤勢,1
中美 經貿 角力   債市 成 避險 天堂,2
貿戰 陰影 下   月 留意 布局 機會,2
漳州 惠台 58 條   開業 補助 上市 獎勵,1
高 CP 值 晾衣架 雷達   054A 艦 採用,0
首次 陸 兩艘 中華 神盾 艦同 下水,1
賴 務實 台獨   自認 中間 選民 支持,1
朱 立倫 駁兩國 說   九二 共識 一中,1
綠 抹黑 仇中牌   難擋 兩岸 交流,0
洪 習會 今 登場   盼 和平 緩衝 兩 制,3
北京 致力 發展 大興區   展現 習 雄心,4
北京 完成 任務   30 分鐘 抵 新 機場,1
北京 大興 機場   今天 真機 試飛,0
接力 世錦賽 失誤 遭 淘汰   掀 陸 女子 接力 隊 網友 開戰,-1
貿易戰 大陸 必勝   陸 學者 北京 握有 王牌,3
台胞 權益 而來   洪 秀柱 率團 抵京   明晤 習近平,1
浙江 溫嶺 農用車 發生 側翻 已 致 12 死 11 傷,1
大陸 高鐵 再 創新紀錄   運送 超過 100 億人次,0
學者 鄭 永年 中美 貿易談判 破裂   談出 理性,-2
整改 後 視覺 中國 正式 恢復 營運   新增 舉報 功能,2
村上春樹 公開 父親 侵華日軍   陸 網友 大讚 正視 歷史,2
梵蒂岡 參展   對話 氛圍,0
帶路 國 相挺   世園 綠色 奇蹟,2
紀念 五四   愛國主義 做起,3
中美 貿易戰 邊打 邊談,0
環保 減廢   台商 看好 新 藍海,1
徵文 啟事,0
致在 台灣 讀書 遇見 小 美好,1
兩岸 史話 － 五四 台灣 一頁 轉折,-1
體內 毒物 難 代謝   刮痧 幫 解決,0
五音 入 臟腑   防病 療癒 心情,0
春夏 交替 空氣 濁   預防 哮喘 纏 上身,0
單身 療癒 經濟 消費 孤獨感,-2
95 後 孤獨 商機   單身 值錢,1
看準 政策 下手   投資人 不用,0
A股 波動 加劇   易會 喊話 穩 信心,1
豬事 不妙   非洲 豬瘟 入侵 香港,-1
試用期   解除 勞動合同 實務 探析,0
台灣 需要 睿智 領導人,2
台商 回流 增 家   融資 專案 增 千億,1
船 公司 老板 成 海上 清道夫,0
生物 可分解 塑膠   陸 環保 商機 旺,1
陸 打造 無 廢 城市   深圳市 入列,1
陸對 洋垃圾 說   回收公司 頭大,-1
台灣 藝術家   詮釋 山水 元素,-1
電路板 烏鴉   環境 藝術 再 省思,-1
陸運 20 產能 全開   13 架 霸氣 擺陣,0
高調 抗中   軍火商 破格 轉正 美防長,0
廣東 惠台 48 條   最高 億元 人幣 補助,1
大廠 低調 返鄉   憂缺工 缺電,-1
台商 回流 增溫   挹注 資金 2500 億,2
新法 過渡期   台商 應 加速 依法 調整,2
外資 新法 時代   台商 站上 新 起跑線,0
惠譽 對陸 信評 不變   人幣 空倉 大增,1
貿易戰 交鋒   恐 還要 演 集,1
中美 談判 分歧   陸 讓步,-2
中美 北京 再戰   美嗆 全面 徵稅 25,1
韓粉 強強 滾 讚歎 世園   盼 交流,3
展 中國 特色   兩岸 園藝 同根 同源,1
梵蒂岡 首 參展   教廷 旗幟 飄揚 北京,1
帶路 國家 挺   世園 會創 綠色 奇蹟,1
台 遍布 斷層   建 地下城 風險 高,0
電影 情節 成 真   地下 農場 救 糧荒,0
全球 暖化   未來 成 海岸 區 告急,0
台灣 西南部 顯著 下沉   陸 沿海 地面沉降   加大 災害 風險 海平面 上升 加劇   兩岸 陷 困境,-2
香格里拉 對話會 月底 登場   陸防 長 時隔 年 再 出席,1
川普 撂 話   陸 關稅 徹底 扼殺,0
陸 證監會 前 主席   劉士 余 遭 調查,1
美 黑人 首富 慨捐 12.7 億   幫 學生 清償 學貸,0
手握 王牌   習 考察 江西 稀土 業,2
極限 施壓   川普 主義 恐 引火上身,0
川普 怒嗆 伊朗   開戰 完蛋,-1
尊重 平等 文明 對話 基礎,3
／ 旅陸 台胞 領 居住證 說明,0
顛倒是非 政黨,-1
國民黨 宿命,0
審視 台日 關係 虛 與實,0
兩岸 史話 － 禮義廉恥 需要 具體 社會 載體,0
大學 招 陸生 起跑   省市 名額 穿小鞋,0
爆 違紀 落馬   劉士 余 主動 投案,0
澄江 清江 生物群   提供 珍貴 證據,3
氧氣 催生   寒武紀 生命 爆發,0
NASA 星光 地圖   上海 說 晚安,0
蛟龍 號 聲納   海底 輕鬆 聽 說,0
陸媒 批 美打 科技 戰   箝制 世界 發展,0
搶下 國 市場   陸 鐵路 航向 全球,1
築美 鐵路 150 年   陸 翻轉 華工 血淚,-1
蘇通 園區 十年   躍 南通 新 地標,0
做 單身 狗   陸青 相親 尋 真愛,2
爭利益 理念   日 全家 頂 新 翻臉,-1
陸 全家 歸屬   日方 頂 新 強 碰,1
行動 互聯網 普及   線上 消費 大增,2
中芯 華力 微 扮演 陸 先進 製程 推手,2
陸 90 後 追求 品質   激活 新 消費,0
寶寶 類 理財 收益 跌   創 29 月 新低,0
陸銀 推 高利 定存   年輕人 招手,2
陸 反洗錢 師 奇缺   掀 搶 人戰,-1
水岸 台北 2019 端午 嘉年華   正式 開 跑,1
華南 金控 攜手 亂彈 阿翔   打造 庶民 金融服務,1
強化 兩岸 姊妹 湖 合作   天目湖 舉行 年會,2
台灣 芒果 拚 外銷   屏東縣 成 領頭羊,0
收藏家 一生 驕傲   元青花 特 展開 跑,1
寧波 惠台 80 條   專案 資助 青年 交流,2
貿戰 勿 只見 轉單   外溢 效應,0
蔡 炫 經濟 政績   台商 臉 批 邀功,0
藍 推 蔡 失政 月曆   明年 掰了,0
蔡 談 兩岸 政策   中國 大聲,-1
陸黨 媒 綠 搞砸 兩岸 撕裂 族群,-2
陸 學者 蔡 兩國論 撈 選舉 利益,0
蔡 壞了 兩岸關係   成民眾 負感,0
美艦 駛近 黃岩 島   陸打 愛國 牌 應變,3
陸 學者 核心技術 掌握,2
美 應 狠   談判 正途,-1
習 考察 江西 稀土 業   引發 臆測,1
B 計畫 啟動   華為 作業系統 鴻蒙 待命,3
華為 掰掰   歐洲 市場 受創 嚴重,-2
美 圍堵 華為   鹿死誰手 尚難 預料,-1
谷歌 首 斷貨 華為   高通 英特爾 補槍,0
李鵬 子李 小鵬 獲 新 職務 公開 亮相 　 仕途 備受 關注,2
華為 放話 伺服器 晶片 已 實現 自主 生產,2
大陸 歐盟 商會 強制 技術轉讓 大陸 有增無減,0
美 駐華大使 訪問 西藏 　 陸 外交部 希望 客觀 態度 參訪,3
阿爾山 聯合國教科文組織 世界 地質公園 揭碑,1
成都 發現 唐代 名將 高 駢 主持 修築 城墻,3
歐盟 商會 大陸 強制 外商 技術轉讓 有增無減,0
谷歌 暫停 業務 往來   華為 安卓 服務 受 影響,-1
美 軍艦 入 黃岩 島 鄰近 海域   陸 外交部 已 識別 查證 警告 驅離,0
華為 準備 反擊   陸 外交部 支持 陸企 捍衛 正當權利,2
馬 吳 出境 管制 期限 遭 延長   藍委 批 蔡 政府 誠信,2
美海軍 驅逐艦 再 闖 南海 　 兩 周 次 挑釁 北京,-2
民進黨 執政 年   陸 檢討 崩塌 最 嚴重 兩岸 政策,-2
蔡英文 重申 挑釁 北京   陸 學者 做 賊喊 抓賊,0
劉士 余 主動 投案     陸媒 曝 點 特殊 處,2
促 止戰 兩岸 分治 七十 周年 系列 活動   蔡 政府 兩岸 政策 總 體檢,0
遭 川普 封殺   華為 排除 撤出 美國,-1
陸官 媒播 韓戰 電影   示抗 美 決心,0
王毅 通話 蓬佩奧   美別 走 太 遠,0
卡 吳 習會   蔡 違背 民主 慣例,0
不可 低估 貿易戰 中國 衝擊,-2
執政 年 不及格,-1
吳 主席 在家,0
台商 回流 照單全收,1
兩岸 史話 － 資產階級 時代 民族 消失,0
集美 人文 魅力   影視 產業 落地 開花,1
看見 集美   青春 電影展 開幕,0
台青 創業 軟 實力   海交會 亮點,1
閩 台 人才 對接   集 中醫 農科教,0
中華 婦女 黨   推 新 住民 二代 崛起,1
高中 落榜生 轉戰 跑道 成 世界冠軍,2
陸 科考船 起航   探 馬里亞納 海溝 海山,0
陸製 智慧 海工 設備   贏 挪威 讚譽,3
王綽 中籲 媒體 說好 大灣 區 故事,0
閩粵 台港澳   打造 全球 最大 經濟區,1
中國 香谷 引來 世界 500 強,1
港澳 青年 創客   中山 玩 瘋,0
天津 貓熊 智慧 公車   刷手 搭乘,1
科技 改變 生活   刷 臉 萬事 OK,1
世界 智慧 大會   打造 全球 盛會,2
香山 飯店 售京 味兒 文 創品,0
北京 家 醫院 試點 國際 醫療,0
亞洲 藝術展   顯 大道 融通 美,0
空巢 青年 做飯   超商 94 我家 廚房,0
恆指 下探 250 日 均線   短線 升幅 有限,0
變數   A股 維持 震盪 調整 格局,0
人幣 區間 震盪   月習 川會 成 轉折,-1
美元 指數 放緩   後市 表現 指標,2
外資 撤離 大陸 台商 回歸,1
具 債券 特性   特別 股 抗震 追漲 正 夯,0
新興 債 正熱   外資 加碼 陸 國債,2
貿易 戰火 升   高 收債 好 避險,0
揚州 惠台 68 條   推動 專技 落地 傳承,0
中美 已 非貿易 戰   霸權 爭奪戰,-1
美 封殺 華為   任正非 嗆,-1
抗美   央視 黃金 時段 改播 援朝 舊片,1
陸 開闢 戰場   全面 逼 美 讓步,1
綠 重返 執政 年   57 民眾 滿意,2
准吳 赴陸   吳 習會 今年,0
北京 如如 不動   綠仇 中牌 棉花,0
蔡 就任 周年   兩岸關係 緊張 加劇 陸 學者 綠 再 執政   台海 恐成 火藥庫,-3
陸 證監 前 主席 劉 士余涉 違紀 違法   主動 投案 配合 審查,0
批 美 翻臉 翻書   陸官 媒 北京 核心 問題 讓步,-1
陸 央行 副行長 大陸 外匯市場 預期 總體 穩定,2
美國 大豆 業者 大陸 市場份額   恐 永久 喪失,-1
大陸 新增 家 國家級 旅遊 度假區,1
西藏 雪豹 頻 肇事   無礙 牧民 和平共處,2
神仙 課程 大學 選課 發 蘋果電腦,0
林鄭月娥 盼 港澳 青年 大灣 區追 夢,0
任正非 華為 排除 完全 撤出 美國市場,0
美 拋 大陸 技術 有害   陸媒 反擊 香者 自香   臭者 自臭,-1
APEC 發表 貿易部長 聯合聲明 反對 保護主義,4
聯想 深夜 發聲明 未 斷供 華為   追究 造謠,-1
傳美陸 談判 停頓   未知 下輪 日期,-3
台灣 人才 項目 對接   洽談 熱絡,1
台灣 美食 精品   人氣 最旺,1
美陸 對抗 加劇   澳洲 苦尋 平衡點,0
民調 失靈   澳洲 大選 未 變天,-1
壯年 NASA 煩惱,-2
陸 網友 最愛 洪 秀柱,2
貿易戰 升溫   台商 恐成 重災戶,0
徵文 啟事,0
知 故人,0
兩岸 史話 － 現代 轉型 面臨 三重 任務,0
護 眼保健操   簡單 步驟,1
按摩 茶飲   保護 靈魂 窗,0
福州 惠台 新 措施   聚焦 創投 物流,0
福州 518 海交會   台灣 展區 人氣 旺,1
外賓 以茶 會友   茶 博會 國際化,0
中國 茶博館 圍牆   歡 迎來 品茗,0
美眾 議員 致函 WHO   挺 台 參與 WHA,0
台灣 政情   防疫 無國界 － 台 度 缺席 WHA   藍 委籲 陸釋 善意,0
中國 百慕達 揭開 神祕 面紗,1
消費 龍頭 寶僑   長盛不衰 祕密,1
綠色 意識 型態   武裝 媒體 腦袋,0
滬 台商 會長 李 政宏   任台 企聯 會長,0
出口 退稅 貨幣貶值   抗 貿易戰 利器,0
自經 區 全球 維修中心   避 貿易 戰火,-1
中美 貿易戰   兩個 影響 兩個 機會,1
陸 出口 大戶   台商 受 關稅 衝擊,-1
東拼西湊   盧昉 西畫 飄 中國 味,0
台客 趴 趴 走   古洋 畫內現 蹤跡,0
上海 各區 惠台   閔行區 38 條 搶 頭香,0
應對 殲 20   美 F 35 組 虛擬 預警機,0
技術 突破   陸 50 架 殲 20 今年 服役,0
陸 長征 兩百 回   火箭 院 量產 化發展,1
東部 戰區 台 主力   殲 16 大象 漫步,0
西太 飛彈 艦艇 量   陸是 美軍 五倍,1
美專家 籲美 台 聯演   助台 突破 孤立,0
美 戰略部署   視台 軍事 盟友,2
華為 供應鏈   陸 科技 大廠 備胎 轉正,1
封殺 華為 卻 鬆手   美送 90 天 豁免 令,-1
下輪 協商 沒譜   美 中 談判 恐 中斷,-2
陸在 聯合國 闢 戰場   控美 貿易 霸凌,1
陸 高鐵 拉動 發展   小 盈虧 創 大利,0
高鐵 負債率 65   陸 專家 合理 可控,1
高鐵 擂台   陸 票價 優惠   台 便當 好吃,2
赴陸 參與 民主協商   恐 適用 外患罪,1
管制 屆滿   曾 永權 月 15 日 出席 海峽 論壇,1
登陸 談 一國兩制   應 論罪,0
老有所養   所用,0
華為 反擊 反思,0
5G 智慧 應用   百家爭鳴,3
徵文 啟事,0
公司 辦 聯誼,0
認識 大陸,0
兩岸 史話 － 窮人 殺子 棄養   宋高宗 流放 處罰,-4
兒童 厭食 解方   三餐 定時 變化,-1
薰衣草 助眠   改善 粉刺 受用,1
韭菜 營養 清腸   便便 順暢,2
貴 陽數 博會 今 開幕   參展 台企 倍增,1
保障 言論自由   談統 論獨 論罪,1
每天 直播 小時   商商 成 富婆,0
直播 主年 賣 上億 人幣   淘寶 印鈔機,0
水氫 車 問世 學者 技術 未成熟,0
汽車 水跑 陸企稱 可開 1000km,0
高息 風險   陸 整頓 結構性 存款 亂象,0
陸銀 警報聲 不斷   恒丰 點名,-1
史家 胡同   敘說 近代 中國史,0
掌握 關鍵 要素   打造 爆 紅影 音,3
擋 赴 陸 交流   蔡 政府,1
因應 貿易戰   台商 加強 併購 布局,1
華為 禁令   衝擊 全球 5G 生態,-3
智慧 醫療   兩岸 5G 醫院 起步 走,2
