cln_title,polarity_score
5G 智慧 製造   廣州 黑燈 工廠 上線,1
打造 智慧 工廠   台商 秀 邊緣 運算 力,1
台 輔諮 專業 領先   陸師 過海 取經,1
博班 招 陸生   設計 藝術類 搶手,0
陸足 投資 狂歡 已   粉絲 熱度 不減,2
心冷 20 年   萬達 重新 涉足,1
銀狐 二進宮   陸足 盼 起死回生,0
恨鐵不成鋼   陸國足 自我 麻痺,-3
陸繞 台電 戰機   尚 無法 全天候 作戰,-2
美 海警 船巡 南海   陸空警 500 盯梢,0
美商 找 陸廠 仿製 軍服   太俗 拆穿,-1
陸 購買 第二套 S 400   月底 啟運,1
大連 惠台 61 條   獨門 經貿 優惠,1
月 北上 資金 淨 流出   11 檔 淨 買超,-1
A股 月 致富   帶動 千億 人幣 入市,2
人行 天 度 保人 幣   中間價 終止 11 貶,-1
人幣 續貶   郭樹清 警告 空頭,0
陳 時 中 返台   指 WHA 國家 發聲 挺,0
北美 協調會 更名   台灣 美國 事務,0
台美 踩 底線   陸 學者 忍耐 極限,0
一味 挑釁 大陸   反 致台 面臨 軍事 威脅 美 口惠 實不至   徒令 台海 動盪,-2
郁慕明 一行 黃花崗 七十二 烈士墓 致敬   穗台青 相聚,1
郁慕明 一行 粵 台生 座談   推動 台北 學舍 照顧 台生,1
陸駐英 大使 美 對陸 明面 貿易戰 暗地 科技 戰,-1
大陸 首個 北極 科考 站 黃河 站   考察 任務,1
浙江 寧波 化工廠 油罐 著火   現場 人 失聯,-1
19 歲 女 搭網 約車 遭 拍摸 身體   廣州 警方 刑事拘留 司機,-2
四川 臥龍 拍 全球 首隻 白化 熊貓,0
銀保監 郭樹清 人民幣 持續 貶值,-1
人民日報 署名文章 狂風驟雨 掀翻 大海,-1
華為 SD 卡 WiFi 組織 拒之門外,0
鐵娘子 第二   慘遭 滑鐵盧,0
武漢 精神 引領   中 印 龍象 共舞 期,0
莫迪 連任   最大 挑戰 拚 經濟,0
脫歐 歹戲 拖 棚   梅伊 落淚 下台,-1
貿易 戰傷 蘋果,0
稀土 新長征,0
人民幣 貿易戰 武器,0
徵文 啟事,0
漫步 蘇州河   感受 近代 上海 事,0
台灣 作家 聲音 傾倒,-1
兩岸 史話 － 歐陽修 娶 三妻   兩任 死於 分娩,0
腰椎間盤 突出   自我 鍛 煉八法,0
減肥 珍饈   日食 筍 三日 清腸,1
台灣 10 家 創新 創業 團隊 脫穎而出,2
陸 力推 自主 研發   台青 創業 優勢,3
台青 視野 需 開闊   西進 能展 抱負,1
惠台 同等待遇   高等 待遇,1
新 時局 新 挑戰   兩岸 青創 論壇 登場,1
徐 台 舌尖 交流   彭祖 美食 台北 上菜,1
蔡 上任 年   台 觀光業 剩 半條命,0
搶攻 端午 市場   陸菇 走私 逾 200 萬元,-1
菇城立 院辦 囍事   教導 民眾 選 好菇,0
抗 豬瘟   陸 研發 疫苗   台 推 試劑,1
陸 豬肉 短缺   明年 至少 進口 400 萬噸,-1
陸 商務部 經濟 長期 好   基本面 未變,2
美 畫清 界線   中芯 自紐 交所 下市,0
貿戰 延燒   美校 強制 遣返 陸 學者,1
川普 稱華 為好 危險   納 貿易 協議,0
全球 科技 原創 影響力   北京 居冠,1
住 建部 預警   10 城市 點名,-1
調控 Hold 不住   西安 房價 連漲 38 月,-1
郭 台強 中美 貿戰   衝擊 台 產業,-1
台 經院 憂 經濟 前景 變 災難片,0
陸 監管部門 拍板   險資 買科 創板,0
中日 股市 互通   兩地 ETF 合作 落地,1
貿戰 烽火 燒 全球   金價 先漲 波,0
遼寧 惠台 52 條   支持 台企 參與 基建,1
台 海風 高 浪急   兩棲 突襲 難度,-1
陸建 兩棲 打擊 群   075 急 趕工,-1
台美 已 具 準軍事 同盟 態勢,1
高調 交流   赴美 參訓 國軍 穿 制服,1
俄 專家 美 誤判 陸攻 台 軍力 戰術,0
美 2020 國防 授權 法 草案   加強 制中,0
陸 延續 免 減半   獎勵 台商 技術升級,2
陸發 力穩 就業   防 大規模 返鄉 潮,0
貿戰 關頭   陸 加強 教育 統一 思想,1
中美 大國 治理   制度 過招,1
華為 蘋果 挑 支   陸民 理性 選購,0
貿戰 激發 大團結   五星旗 火熱,3
汶川 震災 天 調兵 16 萬   動員 力撼 全球,0
陸推 愛國 教育   反 美帝 侵門 踏戶,2
全球 科創 城市 報告 北京 上海 進入 全球 創新 引領 行列,2
貴州 民船 翻覆   已 造成 10 人 罹難 人 失蹤,0
陸 中科院 施放 繫留 浮空器 觀測 大氣   7003 公尺 世界 第一 高,1
兩岸 雙 新   一堂 教研 課,0
林毅夫 美國 大陸 買 東西 恩惠,1
莫迪 2.0   中印關係 意味著,1
IMF 報告 美國 對華 關稅 全 美 進口商 買單,1
兩岸 性伴侶   只能 先 台 註記,0
美參院 法案   挺 台 重返 世衛,1
印度 大選 狂勝   總理 莫迪 連任,1
時速 600 公里   陸 展示 高速 磁浮 車,0
陸 31 省 GDP   廣東 居冠   雲南 增速 最快,2
歐洲議會 選舉   右傾 指標,1
台獨 害台   獨台 弱台   統壯 台,-1
美國 開闢 遏中 第二 戰場,0
力看 川普 貿易戰 策略,0
中美 國防部長   交鋒 香格里拉,0
關注 內陸 崛起,1
雙贏 雙 輸,1
提出 大陸 放心 兩岸 新 論述,1
徵文 啟事,0
台北 印象   小聲 說話,0
兩岸 史話 － 孕婦 忌吃 烤鴨   防 寶寶 逆產,0
台商 挺韓   砸 3.5 億買 高雄 水果,0
陸喊 一促 兩 穩   消費 升級 商機,2
北斗 三號 系統   2020 全球 通信 搜救,0
陸新 進網 手機   70 支援 北斗 定位,0
旬 奶奶 解憂 熱線   接聽 13 萬通,0
最強 地鐵 女司機   駕馭 上海 巨龍,1
購房 享超 國民待遇   南京 台胞 嘆 有坑,0
台胞 在陸 開戶 難   辦 信用卡 難,0
大批 養殖戶 進場   陸 小龍蝦 慘跌,-1
大陸 見蒜 狠   收購價 飆 倍,0
暖冬 少雨   蜂蜜 產量 70 年 最差,-1
期貨 公司 忙 上市   弘業 搶 A股 頭香,0
大陸 股指 期貨   對外開放 腳步,2
外資 回流 期   下跌 正好 挑 股票,2
交易量 達 成   外資 賣壓 拉黑 A股,0
朱 立倫 親美 中   貿戰 危 機變 轉機,1
低 利誘 台商   藍委 轟 蔡 只 拚 選舉,-1
波音 737   MAX 長時 停飛   陸出 招 索賠,0
中美 相互 出招   留 談判 餘地,-1
桑葚 枝頭   南昌 喜迎 豐收,1
中國 最美 森林 坐落 江西 九連山,0
大熊貓 認臉 神器,0
逐夢 新津   台青 變身 新 農夫,0
花落 錦官城,0
搭 高鐵   陸 高速 磁浮 下線,0
陸 高端 母嬰 家電產品   錢景 可期,1
陸 去年 新生兒 大減   奶粉 好難 賣,-1
房地產 信託 增 成   陸 官方 急 降溫,0
陸 房價 料漲 7.6   重點 城超 預期,1
科 創板 申報 資料   供 外包 惹 疑慮,-1
中金公司 踩雷   科 創板 第一 罰,1
陸 銀行 拚 轉型   理財 子公司,0
朝陽 資管 博班 林子 怡   大馬 發明 展獨 得兩金,0
朝陽   李宣 信手 擲 滑翔機 丹麥 奪冠,1
培養 國際 移動力   朝陽 學子 締 佳績,1
二次元 餐飲   台商 匠心 化 美食,0
金華 惠台 41 條   促進 科技 文化交流,2
俄 量產 蘇 57   關鍵 材料 需 靠陸,1
陸 裝甲 戰力 堅強   美 10 再 飛 10 年,2
川普 急 訪日   搶先 習近平 見德仁,0
雷根 號 台 聯動 西太 軍演   變相 挺 台 擦邊球 美艦 今年 度穿 台海   北京 恐 凍抹 條,0
陸 曾 日亮 稀土 劍   日 產業界 大亂,-1
合作 門若關   陸 禁 稀土 銷美,1
習 喊話 延伸 稀土 產業鏈   概念股 飆,1
陸 儲量 占 全球 成   軍事 高科技產品 不可或缺 稀土 牌制 美   陸 輿論 聲浪 高,0
軍方 證實 艘 加拿大籍 軍艦 18 日航 台海,1
台灣 指標 調查 民調 韓國瑜 27 勝 郭台銘 21,2
中時 晚間 快報 排水溝 塞到 剩 功能     韓嘆 高雄人 熬過來,-1
朱 立倫 林口 高中 玩 射擊   力推 青年 體育部,-1
里長 赴陸 交流 辭世   鄭文燦 已 請 海基會 協助,2
桃園市 府 預算 減 15 　 鄭文燦 排除 教育 人事 福利,1
關懷 憂鬱症 患者       南市 議長 邀 聽 故鄉 歌,-2
挺韓 大會 622 交通 疏導   管車 人   住戶 開車 出入 受 影響,0
桃園 中正 公園 停車場 遭 反對     市府 暫緩 喊卡,0
一句 話 改變 韓 命運 曝 絕妙 關鍵,3
抗議 惡修 公投法   藍 委籲 全民 選票 唾棄 民進黨,-2
國安法 修正案 三讀   府 進一步 建構 民主 防護網,3
行政院 同意 核發 補助   高 市府 盼 中央 地方 攜手 防疫,1
卡韓   陳 其邁 南下 視察 疫情     韓國瑜 陪同,1
歐洲 第一 國 波蘭 簽署 司法 合作 協定,4
高市 錢 防疫   一查 發現 花媽 減列 多萬,1
高雄 5318 萬 防治 經費   陳 其邁 中央 全數 核准,-1
NCC 再 罰 中天 50 萬   遭 批 全 台 要求 一家,0
陳 其邁 高市 5300 萬 防治 登革熱 預算 已 同意,0
卓榮泰 用勝 選大 戰略 社會 對話 兩 箭   爭取 信任,1
622 台中 挺韓   邱 烽堯 預計 人數 勝 花蓮 雲林,1
立院 三讀   投資 智慧 機械 5G 抵稅,2
國安法 修法 三讀   大陸 發展 組織 最高 罰 億,2
5300 萬 登革熱 救命錢   政院 已 核定,1
柯文哲 稱 議員 報名 雙城 論壇 踴躍 　 藍綠 炮轟 假消息,0
蚊子 治不好 揭 數據 蘇揆 臉 花媽 賴神,-1
韓為 登革熱 槓 蘇   黃暐瀚 覺得 不用 大驚小怪,-2
黃國昌 施壓   韓國瑜 盼 NCC 拿出 專業 良知,1
政治 爆卦 無色 覺醒 高 雄逢 雨必 淹   前朝 擺 爛 淤積 嚇人,0
蔡英文 2020 目標 總統 勝選   立委 過半,2
挺 中天 韓槓 黃國昌 NCC 有種 一套 標準,-1
藍 臨時 會發 登革熱 聲明     綠 沒道理 配合 韓 造勢,1
產業 缺工   蔡 做出 可行 措施 來回 應,2
彈劾 檢察官 小段 交待   高涌誠 願 公開 錄音 檔,1
扁為 挺 賴者 叫屈 聽聞 蔡 政府 嚴密 掌控 媒體,1
曲棍球 案   監委 原擬 糾正 單位,1
高雄 登革熱 上演 蘇 韓互 嗆   黃偉哲 發揮 區域 聯防,1
郭 組 抗韓 陣營   王金平,0
國民黨 花蓮縣 立委 選民 調   黃 啟嘉 出線,2
排水溝 塞到 剩 功能   韓 高雄人 幾年 熬過來,-1
兩岸 考卷 永遠 不及格 朱 嗆 柯 最大 問題 堅定 立場,-1
防疫 經費   韓國瑜 盼 中央 補助,0
韓國瑜 周六 台 中場 造勢   主辦單位 估 至少 15 萬人,0
朱 立倫 籲應 自創 品牌   林右昌 基隆 高 CP 漁夫 鍋,0
宴請 新北 藍綠 立委   侯 友宜 市政 需要 中央 支持,1
公 投案 逾期 補正 呂秀蓮 11 字轟 中選會,-1
高下 立判 朱 稱 當年 毛 治國 酸菊 賴   派張 善政 南下  ,0
郝 龍斌 舉 實例 臉 蘇揆 休想 養蚊 滅韓,0
藍 委憂 登革熱 疫情 失控   籲 中央 設 疫情 應變 中心,-1
戶政 一站式 服務   國軍 補助 納入,1
張亞 中 呼籲 藍營 選民 非 藍 投,1
觀光 經費 腰斬 潘 恆旭 公布 數據   證 中央 再 卡韓,1
2020 總統 初選   賴祥蔚 點出 關鍵 神 對手 豬 對手,0
／ 22 韓台 中場 定調 榮耀 新 中華   歡樂 向前 行,3
蔡英文 形象 差 網友 字 曝 致命 點,-1
兩岸 論述 質疑   柯 P 轟 其他人 想 派系 利益,-2
  經濟學 人 預測 蔡 險勝   柯 P 笑 最大 變數 尚未 出現,1
綠保 政權 閹割 公投 李 明賢 轟 民主 送終,1
韓國瑜 招   韓黑 嘆服 立於不敗,0
時力 徐 永明 酸韓 自大 草包   遭 一語 反諷,-3
韓國瑜 人氣 衰退 善化 居民 一個 舉動 驚訝,1
前 官員 韓帶 一隻 蚊子 北上 咬 垮 12 人,0
民團 抗議 公投 重返 鳥籠   一別 千古,0
台美 TIFA 會議   日期 未定,-1
呂秀蓮 提 和平 公投 遭 駁回,0
川普 難 掌握   台灣 議價 籌碼,1
軍方 強調   M1A2 戰車 軍售 變,0
美憂 台 軍售   加劇 陸 衝突,-2
別用 人事權   操控 司法 迫害,0
黃蹭 旺中   只 拉高 2020 政黨 票,0
黃國昌 赴 NCC 施壓 反 紅媒 瞄準 中天   學者 批 霸凌,1
打旺 中 撇 小 綠   戰神 想刷 存在 感,1
傳前 檢察 總長 顏大 酒後 吐真言 未 聽命 起訴 傅崐萁   黃 村 慘遭 拔官,-1
蔡 撇清   任內 未 踏進 花檢 一步,0
新聞 透視 登革熱 作戰   口水 亂 噴 民進黨 蚊子 當選 戰 化武   斧鑿 斑斑,-1
高市 清淤 量是 去年 倍   嚇壞 人,0
高雄 再 添 本土 病例   疫情 恐 擴大,-1
命 救   韓粉 擬 募款 防疫,0
捨韓 消瘦   顏笑 稱願 割肉 相挺,0
韓訪 王   彌勒佛,0
民進黨 操作 反送 中   國民黨 搶 回 話語權,1
丟 邦交   走出 外交 困境,0
蔡賴 配   綠委 建議 英仁 續配,1
柯媽 緩頰   陸 戰   爭議,-2
周錫瑋願 做 桶箍   攜手 贏政 權,0
周 自稱   台灣 需要 傻子,-1
政院 卡 登革熱 防疫 補助款 韓急 滅蚊   蘇忙 酸韓,0
登革熱 小 檔案,0
韓國瑜 深夜 發水 溝 清淤 請多 辛苦 工作者 一些 鼓勵,1
下水道 塞到 爆   高 雄菊 時代 淹到 爆 證據 找到,1
韓國瑜 一席話 感動 韓粉   高雄 救,1
2020 年 缺   韓國瑜 郭台銘 爆 危機,-1
小英要 幕僚 研議 不孕症 治療 補助 立法 禁止 五星旗,0
快評 韓國瑜 中央 負責 賴皮 蘇貞昌 害陳菊 中 槍,0
民調 風向   郭董 追上來 全勝 韓 蔡 柯,3
公投 大選 脫鉤   網友 輸到 夠 無恥,-1
藍 政見會 題目 曝光 丟掉 邦交國   走出 兩岸 外交 困境,-1
帶頭 做 假新聞 登革熱 爆 案外案,0
WEF 報告   台灣 司法獨立 大陸 同分數,2
挺韓 大會 台 中場 地核 淮   韓國瑜 周六 晚 點 演說,0
美 智庫 台辦 研討會   蔡英文 顯示 台灣 重要 角色,2
媽祖 雕像 出錢 盧 秀燕 研議 市府 編 預算,1
柯文哲 雲林 行   強調 參訪 造勢,0
工程 三面 協助 中小型 工程 業者 爭取 新 南向 商機,2
公投 關 鐵籠   徐 巧芯 笑 民進黨 多怕,0
中選 會審 公 投案 　 呂秀蓮 案 駁回 案 限期 補正,-1
酸 韓國瑜 賴皮   蘇貞昌 挨 轟 敗選 刁難 勝選,1
撿 到砲 轟 蔡 批 蘇     張 善政 神 邏輯 駁酸民 聽 瞎 唬爛,1
修法 不讓 公投   張 善政 民進黨 全民 白癡,-2
公投法 修正 過關 張 善政 痛心 痛恨 說 句,-4
北市 設會 遴選 新任 委員     巨蛋 嚴審 派 續聘 　 遠雄 不領情,3
拚 2020     羅文 嘉 民進黨 只 民主 安全 主權 牌,1
中時 晚間 快報 公投 大選 脫鉤 引民怒   民團 批 香港 逃犯 條例 嚴重,-2
議員 批 願景   盧 秀燕持 施政 白皮書 反擊,1
談 柯文哲       羅文 嘉 民進黨 穩定   拱手讓人,0
黑韓 蚊子 治不好   張 善政 一句 反 嗆 爆 蘇貞昌,-1
分區 名單       羅文 嘉 將來 立院 作戰 問政 能力,-1
民進黨 舉行 此刻 香港 明日 台灣 兩個 書店 老闆 座談會,1
選舉 小黨 合作   羅文 嘉 一個 案 一個 案談,1
許毓仁 訪美 中美 貿易戰   台灣 未必 獲利,0
吳 志揚 要求 中 高齡 高齡 就業 立法 作業 加速,0
中 市議員 部落 請命   居民 搭 流籠,1
后里 爭設 大型 醫院   盼 提升 醫療 能量,1
公投法 惡修     林奕華 民進黨 惡 再 無 距離,0
認了 政院 高市 登革熱 補助 公文 加急     近日 核定 即可 撥款,2
羅文 嘉 呼籲 世代 各行各業   捍衛 民主自由,4
卡 救命錢   高雄市 5000 萬 登革熱 補助 公文 疾管署,0
找回 名字     蔡英文 原住民 轉型 正義 觀點 成 生活 DNA,1
印 太 經濟 商業 論壇   酈 英傑 褒 台 灣貶 大陸,1
賴神 感謝     支持者 換人 民幫 撐傘,3
韓 不解 遭 批 亂花錢   網 一句 神解,0
蘇揆 批韓 治國   網笑 翻 蚊子 1450,0
民進黨 明開 中 執會     蔡英文 出席,0
綠柳 川 繼續 盧 秀燕 預算 照編 人力 到位,1
卡 救命錢   高雄 登革熱 補助 公文 疾管署,0
說 關心 登革熱   邱 議瑩 酸韓 臉 書,0
中華 郵政 加薪 獨厚 新制 主管   林佳龍 否認,0
郭台銘 批 蘇揆 修理 兄弟 韓 市長,0
韓粉 刊 尋人 啟事   陳 其邁 明日 下 高雄 開會,0
公投 大選 脫勾   王明 鉅諷 民主 燈塔,1
登革熱 疫戰   政院明 南下 舉行 防疫 會議,1
綠營 基層 勸進   林佳龍 今天 談 選舉,1
政治 爆卦 無色 覺醒 討 救命錢 遭 蘇 洗臉   韓嗆 再有 登革熱,1
郭 民調 超韓   網譏 幹嘛 還要 黑韓,1
國 東端 平面 道路 塞爆   網紅 交通部長 說話,0
長榮 空服 醞釀 罷工   林佳龍 勞資 一體,0
蘇 揆忙 嗆韓 花媽 清德 臉 打腫,0
國民黨 團 公投 已 死   民主 送終,2
蔡英文 率領 團隊 預判 情勢 做好 準備,3
韓國瑜 消瘦   顏清標 笑稱 割肉 20 公斤 給韓  ,-1
郭 點名 換 蘇貞昌   蘇 見怪不怪,0
韓國瑜 突襲 超 不爽   管媽 發文 正在 聲援 香港,-1
柯 P 對陸 態度 軟 趴 趴 柯媽 總統 態度 不行,-1
民調   朱 贏 蔡 柯,0
護子 心切 柯 P 爸媽 怒嗆 王世堅 上天 處罰,-1
剪接 韓院 影片 放 臉 書   藍 轟 蘇 揆成 蘇導,0
綠營 擬 毀 柯 滅韓 計畫   柯媽 流氓 說,0
韓 稱王 彌勒佛   拜訪 人 賓至如歸,2
蘇 槓韓   朱 嗆 蘇 民進黨 行政院長,0
甄嬛傳 重演 曝 韓竟 超 人物,0
韓王 會後   郭 本週 拜會 王金平,0
雙子星 卡算 蘇 頭上 柯 P 抱怨,-1
遭 批 賴皮   韓 反擊 蘇 別打 口水戰  ,-1
公布 高雄 水溝 淤塞 照片   韓國瑜 嚇一跳,0
柯粉 兩岸 論述   柯 P 解釋,0
全 台 最 速報 韓國瑜 生日 三願   國運昌隆   台灣 安全   有錢,1
赴 雲林 無心 市政 柯 找 同學 拜拜,0
公投 大選 脫鉤 舉行   民團 強烈 反彈,0
2020 手式 柯 P 酸 毀 柯 滅韓 令 害怕,-2
川普 政府 暫緩 美 官員 訪台 外交部 聽說,1
蘇用 登革熱 黑韓   遭 一句 話狠 臉,0
西瓜 偎大   人選 挺韓,0
總統 換掉 蘇揆   蘇酸 郭 選舉 時 敬佩,1
司改 主張 淘汰 不適 法官   應 非 法律 人 參與,1
  蘇 嗆韓 賴皮   反遭 網嗆 爆,0
黃捷 再 酸韓 跑 立法院 上班 王 淺秋 一句 反 譏,0
想 止血   蔡英文 中央 地方 攜手 防治 登革熱,-1
高雄人 造勢 杏仁 哥領 三千 韓粉 嗆爆,0
造勢 越 辦越 落漆 韓 小舅子 解密,0
中央 卡韓     網驚 李佳芬 魔王   完爆 蘇揆,-1
韓 拚命 辦 造勢   學者 防堵 這件 事,0
超脫 三界 港媒 王金平 已有 抉擇,1
民進黨 算計 登革熱   介文 汲 韓 不到 錢,0
抹黑 不要緊 李佳芬 曝 韓國瑜 惦惦 搶 做 這件 事,-1
螞蟻   諷 蔡 郭 金牛 得拚,0
批 禁用 巴拉 刈   韓郭為 農民 發聲,-1
辣 台妹 撿 到槍   柯 酸 小心 自爆,0
賞 味期 不到 年   公投 倒退 嚕   塞回 鳥籠   民進黨 斷送 直接 民權,-1
大法官 人事 同意權   院會 27 日 投票,1
明年 總統大選   綁 公投,0
韓國瑜 批 民主 背叛 民主,0
黃士 修 抨擊 蔡 民主 暗殺,-1
韓 突襲 拜會 高雄 綠委   吃閉門羹,-2
蚊子 分 藍綠   基層 里長 激憤,-2
  高雄 救命錢 捉襟見肘,-1
禿子 台 中 造勢   燕子 站台,0
2015 年 高雄 登革熱 直逼 萬例   百餘人 喪命   任內 疫情 失控   花媽 忘,-3
再有 登革熱   瑜嗆算 蘇 頭上,0
三讀通過   不准 綁 大選   保 政權   閹割 公投,-1
索羅門 群島 評估 台 關係 之際 訪中   外交部 考察 原木 價格 評估 供需,2
